Login_page,Class,Status,DOD,Last_update_date
265122,Business,complete,10/25/2015 12:00:00 AM,
265057,Economy/Coach,complete,10/27/2015 12:00:00 AM,
265112,Premium (Special) Economy,complete,10/27/2015 12:00:00 AM,
265113,Economy/Coach,complete,10/28/2015 12:00:00 AM,
265086,Economy/Coach,complete,10/29/2015 12:00:00 AM,
265037,Business,complete,10/29/2015 12:00:00 AM,
263532,Economy/Coach,complete,10/30/2015 12:00:00 AM,
265072,Business,complete,10/30/2015 12:00:00 AM,
265050,Economy/Coach,complete,11/1/2015 12:00:00 AM,
265226,Economy/Coach,complete,11/1/2015 12:00:00 AM,
263533,Economy/Coach,complete,11/1/2015 12:00:00 AM,
263535,Economy/Coach,complete,11/2/2015 12:00:00 AM,
265040,Business,complete,11/2/2015 12:00:00 AM,
265188,Economy/Coach,complete,11/2/2015 12:00:00 AM,
188018,Business,complete,11/2/2015 12:00:00 AM,
265153,Economy/Coach,complete,11/3/2015 12:00:00 AM,
265114,Business,complete,11/3/2015 12:00:00 AM,
265029,Economy/Coach,complete,11/3/2015 12:00:00 AM,
265104,Economy/Coach,complete,11/6/2015 12:00:00 AM,
265081,Business,complete,11/6/2015 12:00:00 AM,
265045,Economy/Coach,complete,11/6/2015 12:00:00 AM,
265020,Business,complete,11/9/2015 12:00:00 AM,
265183,Economy/Coach,complete,11/10/2015 12:00:00 AM,
188011,Economy/Coach,complete,11/10/2015 12:00:00 AM,
265210,Premium (Special) Economy,complete,11/10/2015 12:00:00 AM,
265131,Economy/Coach,complete,11/12/2015 12:00:00 AM,
265208,Economy/Coach,complete,11/13/2015 12:00:00 AM,
265108,Economy/Coach,complete,11/15/2015 12:00:00 AM,
265180,Economy/Coach,complete,11/15/2015 12:00:00 AM,
265025,Economy/Coach,complete,11/15/2015 12:00:00 AM,
263730,Economy/Coach,complete,11/15/2015 12:00:00 AM,
190044,Business,complete,11/16/2015 12:00:00 AM,
144072,Economy/Coach,complete,11/16/2015 12:00:00 AM,
190047,Economy/Coach,complete,11/16/2015 12:00:00 AM,
263693,Business,complete,11/16/2015 12:00:00 AM,
265082,Business,complete,11/16/2015 12:00:00 AM,
263623,Business,complete,11/17/2015 12:00:00 AM,
263654,Economy/Coach,complete,11/17/2015 12:00:00 AM,
263705,Economy/Coach,complete,11/17/2015 12:00:00 AM,
263748,Economy/Coach,complete,11/18/2015 12:00:00 AM,
265044,Economy/Coach,complete,11/18/2015 12:00:00 AM,
263699,Economy/Coach,complete,11/18/2015 12:00:00 AM,
263704,Economy/Coach,complete,11/18/2015 12:00:00 AM,
263624,Business,complete,11/17/2015 12:00:00 AM,
265249,Economy/Coach,complete,11/19/2015 12:00:00 AM,
188023,Economy/Coach,complete,11/19/2015 12:00:00 AM,
263637,Economy/Coach,complete,11/21/2015 12:00:00 AM,
263678,Economy/Coach,complete,11/21/2015 12:00:00 AM,
263279,Economy/Coach,complete,11/22/2015 12:00:00 AM,
263675,Economy/Coach,complete,11/22/2015 12:00:00 AM,
263252,Economy/Coach,complete,11/22/2015 12:00:00 AM,
263271,Business,complete,11/22/2015 12:00:00 AM,
263276,Economy/Coach,complete,11/22/2015 12:00:00 AM,
263285,Business,complete,11/22/2015 12:00:00 AM,
