Login_page,Class,Status,DOD,Last_update_date
140477,Economy/Coach,complete,7/1/2015 12:00:00 AM,
197516,Economy/Coach,complete,7/1/2015 12:00:00 AM,
198103,Business,complete,7/1/2015 12:00:00 AM,
536297,Economy/Coach,complete,7/1/2015 12:00:00 AM,
162064,Business,complete,7/1/2015 12:00:00 AM,
195699,Economy/Coach,complete,7/1/2015 12:00:00 AM,
394288,Economy/Coach,complete,7/1/2015 12:00:00 AM,
501113,Economy/Coach,complete,7/1/2015 12:00:00 AM,
197855,Economy/Coach,complete,7/1/2015 12:00:00 AM,
197741,Economy/Coach,complete,7/1/2015 12:00:00 AM,
505504,Economy/Coach,complete,7/1/2015 12:00:00 AM,
458791,Premium (Special) Economy,complete,7/1/2015 12:00:00 AM,
501142,Economy/Coach,complete,7/1/2015 12:00:00 AM,
536443,Economy/Coach,complete,7/1/2015 12:00:00 AM,
360977,Economy/Coach,complete,7/1/2015 12:00:00 AM,
537465,Economy/Coach,complete,7/1/2015 12:00:00 AM,
310041,Economy/Coach,complete,7/1/2015 12:00:00 AM,
276801,Economy/Coach,complete,7/1/2015 12:00:00 AM,
505576,Economy/Coach,complete,7/1/2015 12:00:00 AM,
198846,Economy/Coach,complete,7/1/2015 12:00:00 AM,
507012,Economy/Coach,complete,7/1/2015 12:00:00 AM,
505537,Economy/Coach,complete,7/1/2015 12:00:00 AM,
505571,Economy/Coach,complete,7/1/2015 12:00:00 AM,
162070,Economy/Coach,complete,7/1/2015 12:00:00 AM,
195630,Economy/Coach,complete,7/2/2015 12:00:00 AM,
197625,Economy/Coach,complete,7/2/2015 12:00:00 AM,
197668,Economy/Coach,complete,7/2/2015 12:00:00 AM,
198108,Economy/Coach,complete,7/2/2015 12:00:00 AM,
197618,Economy/Coach,complete,7/2/2015 12:00:00 AM,
507017,Economy/Coach,complete,7/2/2015 12:00:00 AM,
505544,Premium (Special) Economy,complete,7/2/2015 12:00:00 AM,
198864,Economy/Coach,complete,7/2/2015 12:00:00 AM,
344095,Economy/Coach,complete,7/2/2015 12:00:00 AM,
505514,Economy/Coach,complete,7/2/2015 12:00:00 AM,
198874,Economy/Coach,complete,7/2/2015 12:00:00 AM,
310010,Economy/Coach,complete,7/2/2015 12:00:00 AM,
197879,Economy/Coach,complete,7/2/2015 12:00:00 AM,
254449,Economy/Coach,complete,7/2/2015 12:00:00 AM,
332833,Economy/Coach,complete,7/2/2015 12:00:00 AM,
349101,Economy/Coach,complete,7/2/2015 12:00:00 AM,
254447,Economy/Coach,complete,7/2/2015 12:00:00 AM,
197574,Economy/Coach,complete,7/2/2015 12:00:00 AM,
505525,Economy/Coach,complete,7/3/2015 12:00:00 AM,
457355,Business,complete,7/5/2015 12:00:00 AM,
309652,Economy/Coach,complete,7/3/2015 12:00:00 AM,
536418,Economy/Coach,complete,7/3/2015 12:00:00 AM,
197802,Economy/Coach,complete,7/3/2015 12:00:00 AM,
197747,Economy/Coach,complete,7/3/2015 12:00:00 AM,
164554,Economy/Coach,complete,7/3/2015 12:00:00 AM,
162077,Economy/Coach,complete,7/3/2015 12:00:00 AM,
319183,Business,complete,7/3/2015 12:00:00 AM,
254486,Economy/Coach,complete,7/3/2015 12:00:00 AM,
330287,Economy/Coach,complete,7/3/2015 12:00:00 AM,
458774,Business,complete,7/3/2015 12:00:00 AM,
198040,Economy/Coach,complete,7/3/2015 12:00:00 AM,
348947,Economy/Coach,complete,7/3/2015 12:00:00 AM,
309601,Business,complete,7/3/2015 12:00:00 AM,
197813,Economy/Coach,complete,7/3/2015 12:00:00 AM,
162099,Economy/Coach,complete,7/3/2015 12:00:00 AM,
500843,Economy/Coach,complete,7/4/2015 12:00:00 AM,
197535,Economy/Coach,complete,7/4/2015 12:00:00 AM,
310055,Economy/Coach,complete,7/4/2015 12:00:00 AM,
535951,Economy/Coach,complete,7/4/2015 12:00:00 AM,
254494,Economy/Coach,complete,7/4/2015 12:00:00 AM,
467844,Economy/Coach,complete,7/5/2015 12:00:00 AM,
467845,Economy/Coach,complete,7/5/2015 12:00:00 AM,
467843,Economy/Coach,complete,7/5/2015 12:00:00 AM,
472628,Economy/Coach,complete,7/5/2015 12:00:00 AM,
162101,Economy/Coach,complete,7/5/2015 12:00:00 AM,
198248,Economy/Coach,complete,7/5/2015 12:00:00 AM,
272431,Business,complete,7/5/2015 12:00:00 AM,
467848,Economy/Coach,complete,7/5/2015 12:00:00 AM,
309636,Economy/Coach,complete,7/5/2015 12:00:00 AM,
341599,Business,complete,7/6/2015 12:00:00 AM,
575514,Business,complete,7/6/2015 12:00:00 AM,
197614,Economy/Coach,complete,7/6/2015 12:00:00 AM,
197541,Economy/Coach,complete,7/6/2015 12:00:00 AM,
309746,Economy/Coach,complete,7/6/2015 12:00:00 AM,
162123,Economy/Coach,complete,7/6/2015 12:00:00 AM,
467857,Business,complete,7/6/2015 12:00:00 AM,
501144,Economy/Coach,complete,7/6/2015 12:00:00 AM,
340970,Economy/Coach,complete,7/6/2015 12:00:00 AM,
467552,Economy/Coach,complete,7/6/2015 12:00:00 AM,
467775,Economy/Coach,complete,7/6/2015 12:00:00 AM,
162124,Economy/Coach,complete,7/6/2015 12:00:00 AM,
467897,Economy/Coach,complete,7/6/2015 12:00:00 AM,
530170,Business,complete,7/6/2015 12:00:00 AM,
361959,Economy/Coach,complete,7/6/2015 12:00:00 AM,
457326,Economy/Coach,complete,7/6/2015 12:00:00 AM,
330356,Economy/Coach,complete,7/6/2015 12:00:00 AM,
311790,Economy/Coach,complete,7/6/2015 12:00:00 AM,
198023,Economy/Coach,complete,7/6/2015 12:00:00 AM,
198986,Economy/Coach,complete,7/6/2015 12:00:00 AM,
162140,Economy/Coach,complete,7/6/2015 12:00:00 AM,
332828,Economy/Coach,complete,7/6/2015 12:00:00 AM,
467900,Economy/Coach,complete,7/6/2015 12:00:00 AM,
501285,Economy/Coach,complete,7/6/2015 12:00:00 AM,
309726,Business,complete,7/6/2015 12:00:00 AM,
467795,Economy/Coach,complete,7/6/2015 12:00:00 AM,
307252,Economy/Coach,complete,7/6/2015 12:00:00 AM,
212434,Economy/Coach,complete,7/7/2015 12:00:00 AM,
467973,Economy/Coach,complete,7/7/2015 12:00:00 AM,
467976,Economy/Coach,complete,7/7/2015 12:00:00 AM,
162085,Economy/Coach,complete,7/7/2015 12:00:00 AM,
198130,Business,complete,7/7/2015 12:00:00 AM,
162135,Economy/Coach,complete,7/7/2015 12:00:00 AM,
198129,Business,complete,7/7/2015 12:00:00 AM,
162166,Economy/Coach,complete,7/7/2015 12:00:00 AM,
162172,Business,complete,7/7/2015 12:00:00 AM,
311776,Economy/Coach,complete,7/7/2015 12:00:00 AM,
162111,Business,complete,7/7/2015 12:00:00 AM,
131767,Business,complete,7/7/2015 12:00:00 AM,
195708,Economy/Coach,complete,7/7/2015 12:00:00 AM,
195637,Economy/Coach,complete,7/7/2015 12:00:00 AM,
331210,Economy/Coach,complete,7/7/2015 12:00:00 AM,
276773,Economy/Coach,complete,7/7/2015 12:00:00 AM,
501122,Economy/Coach,complete,7/7/2015 12:00:00 AM,
467998,Economy/Coach,complete,7/7/2015 12:00:00 AM,
162180,Economy/Coach,complete,7/7/2015 12:00:00 AM,
467893,Economy/Coach,complete,7/8/2015 12:00:00 AM,
162096,Economy/Coach,complete,7/8/2015 12:00:00 AM,
198092,Economy/Coach,complete,7/8/2015 12:00:00 AM,
332898,Economy/Coach,complete,7/8/2015 12:00:00 AM,
162175,Business,complete,7/8/2015 12:00:00 AM,
467945,Economy/Coach,complete,7/8/2015 12:00:00 AM,
467928,Economy/Coach,complete,7/8/2015 12:00:00 AM,
195636,Economy/Coach,complete,7/8/2015 12:00:00 AM,
467881,Business,complete,7/8/2015 12:00:00 AM,
195675,Economy/Coach,complete,7/8/2015 12:00:00 AM,
411283,Economy/Coach,complete,7/8/2015 12:00:00 AM,
162213,Economy/Coach,complete,7/8/2015 12:00:00 AM,
197630,Economy/Coach,complete,7/8/2015 12:00:00 AM,
162167,Economy/Coach,complete,7/8/2015 12:00:00 AM,
308386,Economy/Coach,complete,7/8/2015 12:00:00 AM,
315473,Economy/Coach,complete,7/8/2015 12:00:00 AM,
197540,Economy/Coach,complete,7/10/2015 12:00:00 AM,
162212,Economy/Coach,complete,7/10/2015 12:00:00 AM,
331387,Economy/Coach,complete,7/10/2015 12:00:00 AM,
467927,Economy/Coach,complete,7/10/2015 12:00:00 AM,
162214,Business,complete,7/10/2015 12:00:00 AM,
162159,Economy/Coach,complete,7/10/2015 12:00:00 AM,
198177,Economy/Coach,complete,7/10/2015 12:00:00 AM,
467754,Business,complete,7/10/2015 12:00:00 AM,
197966,Economy/Coach,complete,7/10/2015 12:00:00 AM,
356895,Economy/Coach,complete,7/10/2015 12:00:00 AM,
308338,Economy/Coach,complete,7/10/2015 12:00:00 AM,
331476,Economy/Coach,complete,7/10/2015 12:00:00 AM,
162144,Economy/Coach,complete,7/10/2015 12:00:00 AM,
195672,Economy/Coach,complete,7/11/2015 12:00:00 AM,
311870,Economy/Coach,complete,7/11/2015 12:00:00 AM,
311865,Economy/Coach,complete,7/11/2015 12:00:00 AM,
360378,Business,complete,7/11/2015 12:00:00 AM,
162183,Economy/Coach,complete,7/11/2015 12:00:00 AM,
331287,Business,complete,7/11/2015 12:00:00 AM,
401760,Economy/Coach,complete,7/12/2015 12:00:00 AM,
393119,Economy/Coach,complete,7/12/2015 12:00:00 AM,
196069,Economy/Coach,complete,7/12/2015 12:00:00 AM,
197538,Economy/Coach,complete,7/12/2015 12:00:00 AM,
161472,Economy/Coach,complete,7/12/2015 12:00:00 AM,
501029,Economy/Coach,complete,7/12/2015 12:00:00 AM,
196114,Economy/Coach,complete,7/12/2015 12:00:00 AM,
311754,Economy/Coach,complete,7/12/2015 12:00:00 AM,
575028,Economy/Coach,complete,7/12/2015 12:00:00 AM,
162122,Economy/Coach,complete,7/12/2015 12:00:00 AM,
196021,Economy/Coach,complete,7/12/2015 12:00:00 AM,
393122,Business,complete,7/13/2015 12:00:00 AM,
196147,Economy/Coach,complete,7/13/2015 12:00:00 AM,
474847,Business,complete,7/13/2015 12:00:00 AM,
195641,Economy/Coach,complete,7/13/2015 12:00:00 AM,
305581,Economy/Coach,complete,7/13/2015 12:00:00 AM,
294758,Economy/Coach,complete,7/13/2015 12:00:00 AM,
393113,Economy/Coach,complete,7/13/2015 12:00:00 AM,
198181,Economy/Coach,complete,7/13/2015 12:00:00 AM,
309555,Business,complete,7/13/2015 12:00:00 AM,
360392,Economy/Coach,complete,7/13/2015 12:00:00 AM,
195601,Economy/Coach,complete,7/13/2015 12:00:00 AM,
360423,Economy/Coach,complete,7/13/2015 12:00:00 AM,
196025,Economy/Coach,complete,7/13/2015 12:00:00 AM,
360403,Economy/Coach,complete,7/13/2015 12:00:00 AM,
197599,Economy/Coach,complete,7/13/2015 12:00:00 AM,
330163,Economy/Coach,complete,7/13/2015 12:00:00 AM,
196189,Economy/Coach,complete,7/13/2015 12:00:00 AM,
162116,Economy/Coach,complete,7/13/2015 12:00:00 AM,
162243,Economy/Coach,complete,7/13/2015 12:00:00 AM,
331365,Economy/Coach,complete,7/13/2015 12:00:00 AM,
196246,Business,complete,7/13/2015 12:00:00 AM,
393121,Business,complete,7/14/2015 12:00:00 AM,
305585,Economy/Coach,complete,7/14/2015 12:00:00 AM,
213123,Economy/Coach,complete,7/14/2015 12:00:00 AM,
196027,Economy/Coach,complete,7/14/2015 12:00:00 AM,
308302,Economy/Coach,complete,7/14/2015 12:00:00 AM,
501159,Economy/Coach,complete,7/14/2015 12:00:00 AM,
356038,Economy/Coach,complete,7/14/2015 12:00:00 AM,
308485,Economy/Coach,complete,7/14/2015 12:00:00 AM,
416218,Economy/Coach,complete,7/14/2015 12:00:00 AM,
305563,Economy/Coach,complete,7/14/2015 12:00:00 AM,
196139,Economy/Coach,complete,7/14/2015 12:00:00 AM,
408805,Economy/Coach,complete,7/14/2015 12:00:00 AM,
196180,Economy/Coach,complete,7/14/2015 12:00:00 AM,
360374,Economy/Coach,complete,7/14/2015 12:00:00 AM,
315457,Economy/Coach,complete,7/14/2015 12:00:00 AM,
332859,Economy/Coach,complete,7/14/2015 12:00:00 AM,
356041,Economy/Coach,complete,7/14/2015 12:00:00 AM,
356049,Economy/Coach,complete,7/14/2015 12:00:00 AM,
294757,Economy/Coach,complete,7/14/2015 12:00:00 AM,
162218,Business,complete,7/14/2015 12:00:00 AM,
501355,Economy/Coach,complete,7/14/2015 12:00:00 AM,
334272,Economy/Coach,complete,7/14/2015 12:00:00 AM,
391678,Economy/Coach,complete,7/14/2015 12:00:00 AM,
196154,Economy/Coach,complete,7/14/2015 12:00:00 AM,
308487,Economy/Coach,complete,7/14/2015 12:00:00 AM,
311906,Economy/Coach,complete,7/15/2015 12:00:00 AM,
196236,Economy/Coach,complete,7/15/2015 12:00:00 AM,
196059,Business,complete,7/15/2015 12:00:00 AM,
198173,Economy/Coach,complete,7/15/2015 12:00:00 AM,
457375,Business,complete,7/15/2015 12:00:00 AM,
162181,Economy/Coach,complete,7/15/2015 12:00:00 AM,
195308,Economy/Coach,complete,7/15/2015 12:00:00 AM,
536318,Economy/Coach,complete,7/15/2015 12:00:00 AM,
501158,Economy/Coach,complete,7/15/2015 12:00:00 AM,
311909,Economy/Coach,complete,7/15/2015 12:00:00 AM,
294807,Business,complete,7/15/2015 12:00:00 AM,
195615,Economy/Coach,complete,7/15/2015 12:00:00 AM,
308462,Economy/Coach,complete,7/15/2015 12:00:00 AM,
196321,Economy/Coach,complete,7/15/2015 12:00:00 AM,
305619,Economy/Coach,complete,7/15/2015 12:00:00 AM,
162236,Economy/Coach,complete,7/15/2015 12:00:00 AM,
196299,Economy/Coach,complete,7/15/2015 12:00:00 AM,
360448,Economy/Coach,complete,7/16/2015 12:00:00 AM,
294780,Business,complete,7/16/2015 12:00:00 AM,
196190,Economy/Coach,complete,7/16/2015 12:00:00 AM,
311985,Economy/Coach,complete,7/16/2015 12:00:00 AM,
641285,Economy/Coach,complete,7/16/2015 12:00:00 AM,
196311,Economy/Coach,complete,7/18/2015 12:00:00 AM,
314878,Economy/Coach,complete,7/17/2015 12:00:00 AM,
308414,Economy/Coach,complete,7/16/2015 12:00:00 AM,
197621,Economy/Coach,complete,7/16/2015 12:00:00 AM,
641270,Economy/Coach,complete,7/16/2015 12:00:00 AM,
311989,Economy/Coach,complete,7/16/2015 12:00:00 AM,
331246,Economy/Coach,complete,7/16/2015 12:00:00 AM,
196196,Economy/Coach,complete,7/16/2015 12:00:00 AM,
331377,Economy/Coach,complete,7/16/2015 12:00:00 AM,
196032,Economy/Coach,complete,7/16/2015 12:00:00 AM,
536079,Economy/Coach,complete,7/16/2015 12:00:00 AM,
196200,Economy/Coach,complete,7/16/2015 12:00:00 AM,
137132,Economy/Coach,complete,7/16/2015 12:00:00 AM,
162250,Economy/Coach,complete,7/16/2015 12:00:00 AM,
360406,Economy/Coach,complete,7/16/2015 12:00:00 AM,
195680,Economy/Coach,complete,7/16/2015 12:00:00 AM,
473003,Economy/Coach,complete,7/16/2015 12:00:00 AM,
196160,Economy/Coach,complete,7/16/2015 12:00:00 AM,
294753,Business,complete,7/16/2015 12:00:00 AM,
501931,Economy/Coach,complete,7/16/2015 12:00:00 AM,
196105,Economy/Coach,complete,7/16/2015 12:00:00 AM,
162198,Economy/Coach,complete,7/16/2015 12:00:00 AM,
635485,Economy/Coach,complete,7/16/2015 12:00:00 AM,
162238,Economy/Coach,complete,7/16/2015 12:00:00 AM,
360443,Economy/Coach,complete,7/16/2015 12:00:00 AM,
473045,Economy/Coach,complete,7/16/2015 12:00:00 AM,
196228,Economy/Coach,complete,7/16/2015 12:00:00 AM,
314880,Economy/Coach,complete,7/16/2015 12:00:00 AM,
467903,Business,complete,7/16/2015 12:00:00 AM,
230532,Economy/Coach,complete,7/17/2015 12:00:00 AM,
473104,Economy/Coach,complete,7/17/2015 12:00:00 AM,
531793,Economy/Coach,complete,7/17/2015 12:00:00 AM,
501189,Economy/Coach,complete,7/17/2015 12:00:00 AM,
457203,Economy/Coach,complete,7/17/2015 12:00:00 AM,
575250,Economy/Coach,complete,7/17/2015 12:00:00 AM,
307019,Economy/Coach,complete,7/17/2015 12:00:00 AM,
575248,Economy/Coach,complete,7/17/2015 12:00:00 AM,
473084,Economy/Coach,complete,7/17/2015 12:00:00 AM,
473133,Economy/Coach,complete,7/17/2015 12:00:00 AM,
535980,Economy/Coach,complete,7/17/2015 12:00:00 AM,
196122,Economy/Coach,complete,7/17/2015 12:00:00 AM,
473071,Economy/Coach,complete,7/17/2015 12:00:00 AM,
196217,Economy/Coach,complete,7/17/2015 12:00:00 AM,
276895,Economy/Coach,complete,7/17/2015 12:00:00 AM,
641262,Economy/Coach,complete,7/17/2015 12:00:00 AM,
311974,Economy/Coach,complete,7/17/2015 12:00:00 AM,
195717,Economy/Coach,complete,7/17/2015 12:00:00 AM,
