Login_page,Class,Status,DOD,Last_update_date
3943619,Economy,complete,7/12/2016 12:00:00 AM,
3945100,Economy,complete,7/12/2016 12:00:00 AM,
4066368,Premium Economy,complete,7/12/2016 12:00:00 AM,
3302772,Business,complete,7/12/2016 12:00:00 AM,
2691721,Business,complete,7/12/2016 12:00:00 AM,
3397508,Business,complete,7/12/2016 12:00:00 AM,
3999047,Economy,complete,7/12/2016 12:00:00 AM,
3946106,Economy,complete,7/12/2016 12:00:00 AM,
2693903,Business,complete,7/12/2016 12:00:00 AM,
3999743,Economy,complete,7/12/2016 12:00:00 AM,
4086624,Business,complete,7/12/2016 12:00:00 AM,
2593915,Economy,complete,7/12/2016 12:00:00 AM,
3965930,Economy,complete,7/12/2016 12:00:00 AM,
3945274,Economy,complete,7/12/2016 12:00:00 AM,
3877357,Economy,complete,7/12/2016 12:00:00 AM,
3167198,Economy,complete,7/12/2016 12:00:00 AM,
4019500,Business,complete,7/12/2016 12:00:00 AM,
3962136,Economy,complete,7/12/2016 12:00:00 AM,
3999704,Business,complete,7/12/2016 12:00:00 AM,
4014813,Premium Economy,complete,7/12/2016 12:00:00 AM,
3282914,Economy,complete,7/12/2016 12:00:00 AM,
3999705,Business,complete,7/12/2016 12:00:00 AM,
3980813,Economy,complete,7/12/2016 12:00:00 AM,
3495200,Premium Economy,complete,7/12/2016 12:00:00 AM,
2122469,Economy,complete,7/12/2016 12:00:00 AM,
3977340,Economy,complete,7/12/2016 12:00:00 AM,
4086662,Business,complete,7/12/2016 12:00:00 AM,
3880860,Business,complete,7/12/2016 12:00:00 AM,
3644345,Economy,complete,7/12/2016 12:00:00 AM,
3677149,Business,complete,7/12/2016 12:00:00 AM,
3299120,Economy,complete,7/12/2016 12:00:00 AM,
3421282,Business,complete,7/12/2016 12:00:00 AM,
2693284,Business,complete,7/12/2016 12:00:00 AM,
3992992,Business,complete,7/12/2016 12:00:00 AM,
4066471,Business,complete,7/12/2016 12:00:00 AM,
3644346,Economy,complete,7/12/2016 12:00:00 AM,
2725876,Economy,complete,7/12/2016 12:00:00 AM,
3885910,Business,complete,7/12/2016 12:00:00 AM,
4012043,Premium Economy,complete,7/12/2016 12:00:00 AM,
3960854,Economy,complete,7/12/2016 12:00:00 AM,
1381306,Economy,complete,7/12/2016 12:00:00 AM,
1381284,Economy,complete,7/12/2016 12:00:00 AM,
4057840,Economy,complete,7/12/2016 12:00:00 AM,
3880898,Business,complete,7/12/2016 12:00:00 AM,
3638950,Economy,complete,7/12/2016 12:00:00 AM,
4537410,Economy,complete,7/12/2016 12:00:00 AM,
2693885,Economy,complete,7/12/2016 12:00:00 AM,
3942527,Economy,complete,7/12/2016 12:00:00 AM,
4065295,Business,complete,7/12/2016 12:00:00 AM,
3167077,Economy,complete,7/12/2016 12:00:00 AM,
3880791,Economy,complete,7/12/2016 12:00:00 AM,
3951125,Business,complete,7/12/2016 12:00:00 AM,
3885445,Premium Economy,complete,7/12/2016 12:00:00 AM,
2121512,Premium Economy,complete,7/12/2016 12:00:00 AM,
3945612,Business,complete,7/12/2016 12:00:00 AM,
3314930,Business,complete,7/12/2016 12:00:00 AM,
4024644,Business,complete,7/12/2016 12:00:00 AM,
4536464,Business,complete,7/12/2016 12:00:00 AM,
3987531,Economy,complete,7/12/2016 12:00:00 AM,
3884050,Economy,complete,7/12/2016 12:00:00 AM,
3926374,Economy,complete,7/12/2016 12:00:00 AM,
3389557,Economy,complete,7/12/2016 12:00:00 AM,
3941508,Economy,complete,7/12/2016 12:00:00 AM,
3355860,Economy,complete,7/12/2016 12:00:00 AM,
3880822,Economy,complete,7/12/2016 12:00:00 AM,
2058975,Economy,complete,7/12/2016 12:00:00 AM,
2058959,Economy,complete,7/12/2016 12:00:00 AM,
4013047,Business,complete,7/12/2016 12:00:00 AM,
3389571,Economy,complete,7/12/2016 12:00:00 AM,
3389625,Economy,complete,7/12/2016 12:00:00 AM,
2122467,Economy,complete,7/12/2016 12:00:00 AM,
4010822,Business,complete,7/12/2016 12:00:00 AM,
1559124,Business,complete,7/12/2016 12:00:00 AM,
2716892,Premium Economy,complete,7/12/2016 12:00:00 AM,
3981879,Economy,complete,7/12/2016 12:00:00 AM,
4086563,Economy,complete,7/12/2016 12:00:00 AM,
3720440,Economy,complete,7/12/2016 12:00:00 AM,
2683427,Economy,complete,7/12/2016 12:00:00 AM,
3990873,Economy,complete,7/12/2016 12:00:00 AM,
3716742,Business,complete,7/12/2016 12:00:00 AM,
3572870,Economy,complete,7/12/2016 12:00:00 AM,
3880876,Business,complete,7/12/2016 12:00:00 AM,
2691732,Business,complete,7/12/2016 12:00:00 AM,
3942724,Business,complete,7/12/2016 12:00:00 AM,
3720441,Economy,complete,7/12/2016 12:00:00 AM,
3987503,Economy,complete,7/12/2016 12:00:00 AM,
3716184,Premium Economy,complete,7/12/2016 12:00:00 AM,
4066396,Premium Economy,complete,7/12/2016 12:00:00 AM,
3040849,Premium Economy,complete,7/12/2016 12:00:00 AM,
4009764,Economy,complete,7/12/2016 12:00:00 AM,
3977443,Premium Economy,complete,7/12/2016 12:00:00 AM,
2810451,First,complete,7/12/2016 12:00:00 AM,
2725874,Economy,complete,7/12/2016 12:00:00 AM,
3991378,Economy,complete,7/12/2016 12:00:00 AM,
3998333,Business,complete,7/12/2016 12:00:00 AM,
3164007,Premium Economy,complete,7/12/2016 12:00:00 AM,
3943873,Premium Economy,complete,7/12/2016 12:00:00 AM,
3877081,Economy,complete,7/12/2016 12:00:00 AM,
3988968,Economy,complete,7/12/2016 12:00:00 AM,
3949738,Economy,complete,7/12/2016 12:00:00 AM,
