Information , 25-10-2017 14:14:50 , UserDetailsService,IsSessionIdValid,Start for SessionId - 050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:14:50 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:14:51 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:14:51 , UserDetailsService,IsSessionIdValid,End for SessionId- 050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:14:54 , UserDetailsService,IsSessionIdValid,Start for SessionId - 050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:14:54 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:14:54 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:14:54 , UserDetailsService,IsSessionIdValid,End for SessionId- 050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:01 , ReportingServices,GetDODReport,Start 
Information , 25-10-2017 14:15:01 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:01 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:01 , ReportingBusiness,GetDODReport,Start for AirportId --1
Information , 25-10-2017 14:15:01 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 25-10-2017 14:15:01 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
Information , 25-10-2017 14:15:01 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 25-10-2017 14:15:01 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
Verbose , 25-10-2017 14:15:01 , ReportingBusiness,GetDODReport,Start Retieving DOD Report Data From DB
Critical , 25-10-2017 14:15:01 , DataAccessLayer,GetUserNameBySessionId,Could not find stored procedure 'GetUserNameBySessionId'.,at System.Data.SqlClient.SqlConnection.OnError(SqlException exception; Boolean breakConnection; Action`1 wrapCloseInAction);   at System.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception; Boolean breakConnection; Action`1 wrapCloseInAction);   at System.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj; Boolean callerHasConnectionLock; Boolean asyncClose);   at System.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior; SqlCommand cmdHandler; SqlDataReader dataStream; BulkCopySimpleResultSet bulkCopyHandler; TdsParserStateObject stateObj; Boolean& dataReady);   at System.Data.SqlClient.SqlDataReader.TryConsumeMetaData();   at System.Data.SqlClient.SqlDataReader.get_MetaData();   at System.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds; RunBehavior runBehavior; String resetOptionsString; Boolean isInternal; Boolean forDescribeParameterEncryption);   at System.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior; RunBehavior runBehavior; Boolean returnStream; Boolean async; Int32 timeout; Task& task; Boolean asyncWrite; Boolean inRetry; SqlDataReader ds; Boolean describeParameterEncryptionRequest);   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior; RunBehavior runBehavior; Boolean returnStream; String method; TaskCompletionSource`1 completion; Int32 timeout; Task& task; Boolean& usedCache; Boolean asyncWrite; Boolean inRetry);   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior; RunBehavior runBehavior; Boolean returnStream; String method);   at System.Data.SqlClient.SqlCommand.ExecuteScalar();   at Microsoft.Practices.EnterpriseLibrary.Data.Database.DoExecuteScalar(IDbCommand command);   at Microsoft.Practices.EnterpriseLibrary.Data.Database.ExecuteScalar(DbCommand command);   at SICT.DataAccessLayer.DataAccessLayer.GetUserNameBySessionId(String SessionId) in D:\SICT_Web\SICT\DataAccessLayer\DataAccessLayer.cs:line 2324
Information , 25-10-2017 14:15:01 , ReportingBusiness,GetDODReport,End for AirportId --1
Information , 25-10-2017 14:15:01 , ReportingServices,GetDODReport,End 
Information , 25-10-2017 14:15:22 , UserDetailsService,IsSessionIdValid,Start for SessionId - 050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:22 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:22 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:22 , UserDetailsService,IsSessionIdValid,End for SessionId- 050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:28 , ReportingServices,GetAirlineReport,Start 
Information , 25-10-2017 14:15:28 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:28 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -050c47a0-6e16-4c10-b364-478beb85d55c
Information , 25-10-2017 14:15:28 , ReportingBusiness,GetAirlineReport,Start for AirportId --1
Critical , 25-10-2017 14:15:28 , DataAccessLayer,GetUserNameBySessionId,Could not find stored procedure 'GetUserNameBySessionId'.,at System.Data.SqlClient.SqlConnection.OnError(SqlException exception; Boolean breakConnection; Action`1 wrapCloseInAction);   at System.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception; Boolean breakConnection; Action`1 wrapCloseInAction);   at System.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj; Boolean callerHasConnectionLock; Boolean asyncClose);   at System.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior; SqlCommand cmdHandler; SqlDataReader dataStream; BulkCopySimpleResultSet bulkCopyHandler; TdsParserStateObject stateObj; Boolean& dataReady);   at System.Data.SqlClient.SqlDataReader.TryConsumeMetaData();   at System.Data.SqlClient.SqlDataReader.get_MetaData();   at System.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds; RunBehavior runBehavior; String resetOptionsString; Boolean isInternal; Boolean forDescribeParameterEncryption);   at System.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior; RunBehavior runBehavior; Boolean returnStream; Boolean async; Int32 timeout; Task& task; Boolean asyncWrite; Boolean inRetry; SqlDataReader ds; Boolean describeParameterEncryptionRequest);   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior; RunBehavior runBehavior; Boolean returnStream; String method; TaskCompletionSource`1 completion; Int32 timeout; Task& task; Boolean& usedCache; Boolean asyncWrite; Boolean inRetry);   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior; RunBehavior runBehavior; Boolean returnStream; String method);   at System.Data.SqlClient.SqlCommand.ExecuteScalar();   at Microsoft.Practices.EnterpriseLibrary.Data.Database.DoExecuteScalar(IDbCommand command);   at Microsoft.Practices.EnterpriseLibrary.Data.Database.ExecuteScalar(DbCommand command);   at SICT.DataAccessLayer.DataAccessLayer.GetUserNameBySessionId(String SessionId) in D:\SICT_Web\SICT\DataAccessLayer\DataAccessLayer.cs:line 2324
