Information , 8/29/2016 2:40:52 PM , UserDetailsService,IsSessionIdValid,Start for SessionId - 34c57011-120f-4777-ae49-ddc0bd6044bd
Information , 8/29/2016 2:40:52 PM , UserDetailsBusiness,IsSessionIdValid, Start for Session id-34c57011-120f-4777-ae49-ddc0bd6044bd
Information , 8/29/2016 2:40:52 PM , UserDetailsBusiness,IsSessionIdValid,End for SessonId -34c57011-120f-4777-ae49-ddc0bd6044bd
Warning , 8/29/2016 2:40:52 PM , UserDetailsService,IsSessionIdValid,Invalid session 
Information , 8/29/2016 2:40:52 PM , UserDetailsService,IsSessionIdValid,End for SessionId- 34c57011-120f-4777-ae49-ddc0bd6044bd
Information , 8/29/2016 2:41:14 PM , UserDetailsService,Login,Start
Information , 8/29/2016 2:41:14 PM , UserDetailsBusiness,CompareHashAndAuthenticate ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,Authenticate ,Start 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,Authenticate ,Entered Authentication: - UserName-ct
Verbose , 8/29/2016 2:41:26 PM , UserDetailsBusiness,Authenticate ,Checking if the user as already logged in - 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,GenerateSessionId,Start For UserID -7
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,GenerateSessionId,Generating SessionId for UserId: 7
Verbose , 8/29/2016 2:41:26 PM , UserDetailsBusiness,GenerateSessionId,Inserting Session Id into the Session Table for UserId- 7
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,GenerateSessionId,End For UserId 7
Verbose , 8/29/2016 2:41:26 PM , UserDetailsBusiness,Authenticate ,Assinging values for the LoginInformation Class
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,Authenticate ,End 
Information , 8/29/2016 2:41:26 PM , UserDetailsBusiness,CompareHashAndAuthenticate ,End
Information , 8/29/2016 2:41:26 PM , UserDetailsService,Login,End
Information , 8/29/2016 2:41:27 PM , UserDetailsService,IsSessionIdValid,Start for SessionId - 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:41:27 PM , UserDetailsBusiness,IsSessionIdValid, Start for Session id-56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:41:27 PM , UserDetailsBusiness,IsSessionIdValid,End for SessonId -56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:41:27 PM , UserDetailsService,IsSessionIdValid,End for SessionId- 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:06 PM , UserDetailsService,IsSessionIdValid,Start for SessionId - 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:06 PM , UserDetailsBusiness,IsSessionIdValid, Start for Session id-56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:06 PM , UserDetailsBusiness,IsSessionIdValid,End for SessonId -56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:06 PM , UserDetailsService,IsSessionIdValid,End for SessionId- 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:19 PM , UserDetailsService,Login,Start
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CompareHashAndAuthenticate ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CreateMD5Hash ,End
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,Authenticate ,Start 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,Authenticate ,Entered Authentication: - UserName-ct
Verbose , 8/29/2016 2:42:19 PM , UserDetailsBusiness,Authenticate ,Checking if the user as already logged in - 
Verbose , 8/29/2016 2:42:19 PM , UserDetailsBusiness,Authenticate ,Assinging values for the LoginInformation Class
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,Authenticate ,End 
Information , 8/29/2016 2:42:19 PM , UserDetailsBusiness,CompareHashAndAuthenticate ,End
Information , 8/29/2016 2:42:19 PM , UserDetailsService,Login,End
Information , 8/29/2016 2:42:20 PM , UserDetailsService,IsSessionIdValid,Start for SessionId - 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:20 PM , UserDetailsBusiness,IsSessionIdValid, Start for Session id-56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:20 PM , UserDetailsBusiness,IsSessionIdValid,End for SessonId -56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:20 PM , UserDetailsService,IsSessionIdValid,End for SessionId- 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:26 PM , UserDetailsService,IsSessionIdValid,Start for SessionId - 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:26 PM , UserDetailsBusiness,IsSessionIdValid, Start for Session id-56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:26 PM , UserDetailsBusiness,IsSessionIdValid,End for SessonId -56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:42:26 PM , UserDetailsService,IsSessionIdValid,End for SessionId- 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:43:37 PM , UploadServices,UploadFile,Start of UploadSPSSFile
Information , 8/29/2016 2:43:37 PM , UserDetailsBusiness,IsSessionIdValid, Start for Session id-56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:43:37 PM , UserDetailsBusiness,IsSessionIdValid,End for SessonId -56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:43:37 PM , UploadBusiness,UploadFile,Start 
Information , 8/29/2016 2:43:37 PM , UploadBusiness,ParseFile ,Start
Verbose , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,Inside Multiparser Class Parse method, Reading stream .
Information , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,Inside Multiparser Class Parse method, Converting to byte array
Verbose , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,GetString method complete Multiparser Class
Verbose , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,contentTypeMatch Multiparser Class
Verbose , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,contentTypeMatch Multiparser Class
Information , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,filenameMatch Multiparser Class
Information , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,FileName Multiparser ClassINTL_Consolidated.csv
Information , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,StartIndex Multiparser Class171
Information , 8/29/2016 2:43:37 PM , MultipartParser,IndexOf ,Start of IndexOf
Information , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,EndIndex Multiparser Class2680666
Information , 8/29/2016 2:43:37 PM , MultipartParser,Parse ,Buffer.BlockCopy Multiparser Class
Verbose , 8/29/2016 2:43:37 PM , UploadBusiness,ParseFile ,Successfully parsed file - Filename is - INTL_Consolidated.csv
Information , 8/29/2016 2:43:37 PM , UploadBusiness,ParseFile ,End
Information , 8/29/2016 2:43:37 PM , UploadBusiness,ValidateFile,Start
Verbose , 8/29/2016 2:43:37 PM , UploadBusiness,ValidateFile,Valid CSV File
Information , 8/29/2016 2:43:37 PM , UploadBusiness,ValidateFile,End
Information , 8/29/2016 2:43:37 PM , UploadBusiness,UploadFile,UploadFileEnd
Information , 8/29/2016 2:43:37 PM , UploadServices,UploadFile,End for UploadSPSSFile
Warning , 8/29/2016 2:43:37 PM , UploadBusiness,BulkInsert,Bulk Copy Initiated for current index50000
Warning , 8/29/2016 2:43:37 PM , DataAccessLayer,BulkCopy,Bulk Copy to DB Start
Warning , 8/29/2016 2:43:39 PM , DataAccessLayer,BulkCopy,Bulk Copy to DB End
Warning , 8/29/2016 2:43:39 PM , UploadBusiness,BulkInsert,Bulk Copy Initiated for current index22002
Warning , 8/29/2016 2:43:39 PM , DataAccessLayer,BulkCopy,Bulk Copy to DB Start
Warning , 8/29/2016 2:43:40 PM , DataAccessLayer,BulkCopy,Bulk Copy to DB End
Warning , 8/29/2016 2:43:40 PM , DataAccessLayer,OnSqlRowsCopied,UpdateConfirmitStatus Start
Information , 8/29/2016 2:43:46 PM , UserDetailsService,IsSessionIdValid,Start for SessionId - 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:43:46 PM , UserDetailsBusiness,IsSessionIdValid, Start for Session id-56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:43:46 PM , UserDetailsBusiness,IsSessionIdValid,End for SessonId -56c11930-a6e9-44f5-bbd3-006bf7d047cc
Information , 8/29/2016 2:43:46 PM , UserDetailsService,IsSessionIdValid,End for SessionId- 56c11930-a6e9-44f5-bbd3-006bf7d047cc
Warning , 8/29/2016 2:43:52 PM , DataAccessLayer,OnSqlRowsCopied,UpdateConfirmitStatus End
