Information , 22-08-2017 17:02:36 , UserDetailsService,IsSessionIdValid,Start for SessionId - 5b77852a-2c16-45bd-99ed-3e1602b49ba3
Information , 22-08-2017 17:02:36 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-5b77852a-2c16-45bd-99ed-3e1602b49ba3
Information , 22-08-2017 17:02:37 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -5b77852a-2c16-45bd-99ed-3e1602b49ba3
Information , 22-08-2017 17:02:37 , UserDetailsService,IsSessionIdValid,End for SessionId- 5b77852a-2c16-45bd-99ed-3e1602b49ba3
Information , 22-08-2017 17:02:43 , ReportingServices,GetAirlineReport,Start 
Information , 22-08-2017 17:02:43 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-5b77852a-2c16-45bd-99ed-3e1602b49ba3
Information , 22-08-2017 17:02:43 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -5b77852a-2c16-45bd-99ed-3e1602b49ba3
Information , 22-08-2017 17:02:46 , ReportingBusiness,GetAirlineReport,Start for AirportId --1
Information , 22-08-2017 17:02:46 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 22-08-2017 17:02:46 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
Information , 22-08-2017 17:02:46 , ReportingBusiness,BuildFilterConditionForTarget,Start For AiprortId --1
Information , 22-08-2017 17:02:46 , ReportingBusiness,BuildFilterConditionForTarget,End For AiprortId --1
Information , 22-08-2017 17:02:46 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 22-08-2017 17:02:46 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
